Age;Sexe;Nationalité(s);Quartier
39;F;R;BONNEVOIE-SUD
76;M;D;HAMM
44;M;L;BELAIR
56;F;TJ;MERL
55;M;P;GARE
46;F;L, I;LIMPERTSBERG
56;F;EST;KIRCHBERG
56;M;F;BELAIR
56;F;F;WEIMERSKIRCH
51;F;L, IR;DOMMELDANGE
55;F;BR;BONNEVOIE-SUD
56;F;A;KIRCHBERG
26;F;L, CZ;KIRCHBERG
59;F;F;BONNEVOIE-SUD
45;M;I;CESSANGE
13;F;SK;ROLLINGERGRUND/BELAIR-NORD
35;F;BG;LIMPERTSBERG
56;F;P;CENTS
48;F;L;CENTS
49;M;L, B;LIMPERTSBERG
44;M;PL;HOLLERICH
57;M;BR;GARE
33;M;TJ;BEGGEN
44;F;L;MERL
65;M;HRV;BELAIR
11;F;L, R;BONNEVOIE-SUD
34;M;TJ;BELAIR
49;M;E;EICH
10;M;L;CENTS
39;F;I;CESSANGE
85;F;L;BELAIR
26;F;L;GRUND
49;F;LTU;LIMPERTSBERG
38;M;P;NEUDORF/WEIMERSHOF
10;M;BG;KIRCHBERG
41;F;F;BELAIR
72;F;P;BONNEVOIE-SUD
34;M;L;HOLLERICH
54;M;F;GASPERICH
55;F;I;CENTS
11;F;L;BONNEVOIE-SUD
9;M;L;MERL
60;F;S;GARE
33;M;IND;BEGGEN
9;M;L;GASPERICH
29;F;L;HOLLERICH
4;M;PHL;CENTS
38;M;L;KIRCHBERG
40;M;L;KIRCHBERG
33;F;PHL;NEUDORF/WEIMERSHOF
10;F;I;BONNEVOIE-SUD
47;F;D, F;BELAIR
46;M;F;VILLE-HAUTE
27;M;L;HAMM
25;M;F;CLAUSEN
18;M;N;CESSANGE
12;M;F;HOLLERICH
5;M;P;NEUDORF/WEIMERSHOF
48;F;B, BG;KIRCHBERG
67;M;L, P;GASPERICH
28;F;L;BELAIR
27;F;L, BR;LIMPERTSBERG
24;F;L, B;GASPERICH
22;F;E;KIRCHBERG
34;M;F;DOMMELDANGE
27;F;L;BONNEVOIE-SUD
31;M;F;BONNEVOIE-SUD
33;M;B;HAMM
42;M;P;HAMM
36;M;I;VILLE-HAUTE
85;M;L;CENTS
28;M;NL;BEGGEN
46;M;J;CENTS
6;F;S;LIMPERTSBERG
25;M;MS;CESSANGE
40;M;B;DOMMELDANGE
12;F;F;BONNEVOIE-SUD
45;F;DZ;KIRCHBERG
77;M;L, F;BONNEVOIE-SUD
60;F;E;LIMPERTSBERG
13;M;I;CLAUSEN
77;F;D;BELAIR
17;F;L, SRB;GARE
67;F;F;KIRCHBERG
12;F;F, I;GARE
29;M;ARM;MERL
12;F;NL;VILLE-HAUTE
78;M;F;BELAIR
44;M;ETH;VILLE-HAUTE
48;M;L;BONNEVOIE-SUD
51;M;PL;MERL
33;M;LVA;ROLLINGERGRUND/BELAIR-NORD
48;M;F;BELAIR
63;F;P;PFAFFENTHAL
70;M;B;BONNEVOIE-SUD
30;F;B;MERL
53;F;F;LIMPERTSBERG
29;M;F;BELAIR
66;M;B;LIMPERTSBERG
45;M;IND;MERL
65;M;F;HOLLERICH
14;F;F, I;GARE
30;M;P;NEUDORF/WEIMERSHOF
85;F;L;KIRCHBERG
13;M;F;GASPERICH
31;F;MON;ROLLINGERGRUND/BELAIR-NORD
34;F;AL;BONNEVOIE-SUD
25;M;L, B;MERL
43;F;P;HAMM
39;M;CH;LIMPERTSBERG
36;M;B;HOLLERICH
49;F;B;NEUDORF/WEIMERSHOF
12;M;F;BELAIR
27;F;FIN;BONNEVOIE-SUD
5;F;F;BONNEVOIE-SUD
41;M;F;BONNEVOIE-SUD
49;M;L, B;GARE
32;M;F;LIMPERTSBERG
31;M;F;EICH
50;M;HRV;CESSANGE
29;M;I;EICH
35;F;R;NEUDORF/WEIMERSHOF
27;M;F;ROLLINGERGRUND/BELAIR-NORD
38;M;L;CESSANGE
39;M;F;BONNEVOIE-SUD
55;F;L;CESSANGE
82;F;L;CENTS
2;M;HRV;GARE
25;F;GR;BONNEVOIE-NORD/VERLORENKOST
25;M;P;KIRCHBERG
47;F;LTU;BEGGEN
39;F;L, F;HOLLERICH
51;F;J;EICH
38;F;P;BELAIR
29;F;F;GARE
73;F;GR;KIRCHBERG
26;M;F;BELAIR
26;F;F;ROLLINGERGRUND/BELAIR-NORD
40;M;R;ROLLINGERGRUND/BELAIR-NORD
48;F;I;CENTS
31;M;F;MERL
63;F;SK;DOMMELDANGE
48;M;F;EICH
62;M;L;BELAIR
23;F;L, F;ROLLINGERGRUND/BELAIR-NORD
40;F;F;BEGGEN
47;M;I;CENTS
23;M;L;HAMM
17;M;F;LIMPERTSBERG
36;F;I;MERL
45;M;BG, D;MERL
17;M;L;KIRCHBERG
72;M;F;BELAIR
6;M;L;MERL
65;M;L;BELAIR
84;F;L;BONNEVOIE-SUD
55;M;L, GB;GARE
27;M;F;LIMPERTSBERG
64;M;F;BEGGEN
55;M;L;GASPERICH
56;M;L;BONNEVOIE-SUD
50;F;P, BR;BONNEVOIE-NORD/VERLORENKOST
63;F;F;GARE
22;F;L, B, I;LIMPERTSBERG
45;M;L;CENTS
64;F;L, P;GASPERICH
56;F;L;BELAIR
64;M;L;BELAIR
87;F;L;KIRCHBERG
87;F;L;EICH
44;F;L;BELAIR
4;M;P;BONNEVOIE-SUD
35;M;IND;BELAIR
43;F;F, TC;BONNEVOIE-NORD/VERLORENKOST
55;F;L;NEUDORF/WEIMERSHOF
55;F;L;EICH
47;F;F;CLAUSEN
34;M;L, IND;BEGGEN
84;M;L;VILLE-HAUTE
55;F;L;NEUDORF/WEIMERSHOF
43;F;L;CESSANGE
25;F;LTU;GARE
24;M;WAN;LIMPERTSBERG
49;M;P;CESSANGE
38;F;F;MERL
40;M;F;KIRCHBERG
84;F;L;BONNEVOIE-NORD/VERLORENKOST
69;F;L;MUEHLENBACH
60;M;L;HOLLERICH
34;M;P;GARE
84;F;L, RUS;BONNEVOIE-NORD/VERLORENKOST
60;F;L;BELAIR
45;F;F;GASPERICH
37;F;RUS;CESSANGE
43;M;L;GRUND
38;F;PL;LIMPERTSBERG
43;F;P;LIMPERTSBERG
4;M;F;BELAIR
51;F;E;KIRCHBERG
19;F;P;HOLLERICH
71;M;L;LIMPERTSBERG
59;F;P;LIMPERTSBERG
46;F;E;BELAIR
18;M;L, I;BELAIR
63;F;MA;GASPERICH
41;M;I;BEGGEN
41;M;F;BELAIR
42;M;MA;GARE
32;F;TJK;KIRCHBERG
36;F;PL;LIMPERTSBERG
58;M;L, D;BONNEVOIE-NORD/VERLORENKOST
25;F;RUS;BELAIR
45;M;SRB;MERL
58;M;L, GB;BELAIR
46;M;B;WEIMERSKIRCH
61;F;L;MERL
7;F;F, GB;NEUDORF/WEIMERSHOF
34;F;B;LIMPERTSBERG
25;F;F;BONNEVOIE-NORD/VERLORENKOST
53;F;IRL;LIMPERTSBERG
20;F;L, E;CESSANGE
54;M;IRL;BONNEVOIE-SUD
47;F;UKR;NEUDORF/WEIMERSHOF
6;M;E, F;GASPERICH
9;F;L, LVA;KIRCHBERG
40;M;PL;CENTS
38;F;P;BELAIR
57;M;L;CENTS
28;M;L;GARE
34;F;F;MERL
45;M;F;BELAIR
89;M;F;LIMPERTSBERG
18;F;L, IR;BELAIR
17;M;L, ET;WEIMERSKIRCH
51;F;L, HRV;PFAFFENTHAL
21;M;L, B, F;LIMPERTSBERG
26;M;L;ROLLINGERGRUND/BELAIR-NORD
14;M;L, WAN;KIRCHBERG
53;F;P;PFAFFENTHAL
43;M;L;GARE
29;F;L;NEUDORF/WEIMERSHOF
32;M;MS;CESSANGE
27;F;F;ROLLINGERGRUND/BELAIR-NORD
42;M;F;BONNEVOIE-NORD/VERLORENKOST
31;F;F;BONNEVOIE-SUD
36;F;L;BELAIR
31;M;P;GASPERICH
33;M;I;EICH
39;M;F;LIMPERTSBERG
40;F;B;NEUDORF/WEIMERSHOF
5;M;HRV;KIRCHBERG
58;M;L;BONNEVOIE-SUD
38;F;L, TN;GASPERICH
35;F;BG;GARE
41;F;GB;NEUDORF/WEIMERSHOF
59;F;D;BONNEVOIE-SUD
58;M;D;NEUDORF/WEIMERSHOF
76;M;P;BONNEVOIE-SUD
64;M;B;NEUDORF/WEIMERSHOF
27;M;P;GARE
5;M;L;NEUDORF/WEIMERSHOF
56;M;E;BONNEVOIE-SUD
38;M;NL;CENTS
29;F;F;GARE
32;F;F;DOMMELDANGE
4;F;F;GASPERICH
93;F;F;HOLLERICH
47;M;P;BEGGEN
3;M;D;MUEHLENBACH
47;F;B;BEGGEN
57;M;L;CENTS
82;M;I;BELAIR
28;F;S;MERL
61;F;F;BELAIR
41;F;F;GASPERICH
36;M;D;BONNEVOIE-SUD
82;M;I;CENTS
69;F;VN;GASPERICH
39;M;IND;CESSANGE
64;F;P;BONNEVOIE-SUD
38;M;P;GASPERICH
30;M;F;MUEHLENBACH
46;M;I;BONNEVOIE-SUD
37;F;F;CENTS
36;F;F;GARE
69;F;P;CLAUSEN
39;F;PHL;GASPERICH
86;F;I;CLAUSEN
57;M;F;BONNEVOIE-NORD/VERLORENKOST
69;M;L, B;VILLE-HAUTE
21;M;L, I;GRUND
4;F;L, D;GASPERICH
36;M;F;GARE
42;M;L, PHL;HOLLERICH
39;F;GB, PL;BONNEVOIE-SUD
20;M;B;BELAIR
63;F;L;KIRCHBERG
52;M;L;NEUDORF/WEIMERSHOF
57;F;BG;WEIMERSKIRCH
49;M;I;MERL
54;M;F;NEUDORF/WEIMERSHOF
57;M;L, F, GB;CESSANGE
22;M;I;BONNEVOIE-SUD
54;M;F;GARE
43;F;D;CENTS
59;M;I;KIRCHBERG
27;F;L;HOLLERICH
84;F;L, F;GASPERICH
35;F;LTU;CESSANGE
9;F;H;MUEHLENBACH
48;F;F;MERL
43;M;L;GASPERICH
56;F;L, E;CENTS
66;M;L;CENTS
14;F;LTU;BELAIR
55;F;L;NEUDORF/WEIMERSHOF
65;M;P;GARE
46;M;L, GB;HOLLERICH
30;M;DK;NEUDORF/WEIMERSHOF
4;F;P;GASPERICH
16;F;P;NEUDORF/WEIMERSHOF
40;M;F;GASPERICH
29;M;I;LIMPERTSBERG
30;F;E;LIMPERTSBERG
49;F;SK;BONNEVOIE-SUD
3;F;P;DOMMELDANGE
63;M;B;GASPERICH
39;M;GB;HOLLERICH
66;M;I;LIMPERTSBERG
49;F;I;BELAIR
26;M;F;GASPERICH
44;F;R, F;BEGGEN
26;M;IRL;BONNEVOIE-SUD
82;F;F;VILLE-HAUTE
81;F;B;BELAIR
5;M;L;CESSANGE
13;F;F;BELAIR
12;M;LTU;KIRCHBERG
32;F;L, E;KIRCHBERG
34;M;L, BIH;BELAIR
78;F;B;ROLLINGERGRUND/BELAIR-NORD
43;F;L;BELAIR
28;M;RA;LIMPERTSBERG
33;F;CO;KIRCHBERG
34;F;TJ;GARE
5;F;P;EICH
30;F;F;DOMMELDANGE
70;F;L, P;ROLLINGERGRUND/BELAIR-NORD
35;F;L;KIRCHBERG
21;M;GR;BEGGEN
6;M;D;MERL
41;M;SN;GASPERICH
26;M;B;GARE
27;M;F;HOLLERICH
2;F;L;DOMMELDANGE
46;F;I;DOMMELDANGE
3;M;L, F;BONNEVOIE-NORD/VERLORENKOST
53;M;L, P;EICH
57;F;FIN;MERL
35;F;P;PFAFFENTHAL
40;M;D;LIMPERTSBERG
47;F;F;BELAIR
46;M;P;CLAUSEN
62;F;L, I;KIRCHBERG
29;M;F;BONNEVOIE-SUD
48;M;I;ROLLINGERGRUND/BELAIR-NORD
63;F;L;BONNEVOIE-SUD
35;F;A;GASPERICH
14;M;L;BELAIR
79;F;F;BONNEVOIE-NORD/VERLORENKOST
11;M;L, F;CESSANGE
13;F;L, F, I;ROLLINGERGRUND/BELAIR-NORD
10;M;F, LTU;BELAIR
41;F;LVA;KIRCHBERG
17;F;F;BELAIR
19;F;I;EICH
11;F;L;LIMPERTSBERG
6;F;L;WEIMERSKIRCH
7;F;IND;EICH
12;F;D, I;BELAIR
50;M;L;MERL
41;F;L;BELAIR
3;F;I, RCH;MERL
51;M;F;GASPERICH
60;M;L, GB;MUEHLENBACH
36;M;I;GARE
52;M;I;ROLLINGERGRUND/BELAIR-NORD
34;M;L;KIRCHBERG
34;F;L;GARE
32;M;I;BELAIR
9;M;E;HOLLERICH
21;F;L, P;MERL
63;M;L;GARE
34;M;SRB;BONNEVOIE-SUD
6;F;L, PE;VILLE-HAUTE
48;M;LTU;KIRCHBERG
57;M;L, CV;GARE
37;F;P;GARE
58;M;L, TJ;NEUDORF/WEIMERSHOF
7;F;F, LTU;GASPERICH
13;M;L, F;GARE
30;F;B;HOLLERICH
55;M;GB;LIMPERTSBERG
30;M;B;ROLLINGERGRUND/BELAIR-NORD
62;F;P;BEGGEN
44;M;E;HOLLERICH
74;M;D;BELAIR
37;M;HRV;NEUDORF/WEIMERSHOF
13;F;P;GASPERICH
53;M;D;NEUDORF/WEIMERSHOF
34;M;L;BONNEVOIE-SUD
49;F;L;CESSANGE
9;M;F;NEUDORF/WEIMERSHOF
24;F;IRL;WEIMERSKIRCH
48;F;USA;CENTS
36;F;D;LIMPERTSBERG
27;M;RL;GARE
40;F;D;HOLLERICH
25;M;NL;HAMM
52;M;L;MERL
13;M;E;HAMM
36;M;I;CENTS
5;F;I;BELAIR
58;M;I;MERL
38;M;F, BR;BONNEVOIE-SUD
16;M;D;KIRCHBERG
34;F;L;NEUDORF/WEIMERSHOF
20;M;EST, USA;NEUDORF/WEIMERSHOF
68;F;B;DOMMELDANGE
3;F;L;LIMPERTSBERG
53;F;B;BELAIR
28;M;USA;KIRCHBERG
53;M;NL;GASPERICH
44;M;SYR;LIMPERTSBERG
38;F;BR;HOLLERICH
36;F;F;BELAIR
6;F;L, TN;HAMM
34;M;L;GASPERICH
10;F;B;BELAIR
43;F;L, F;LIMPERTSBERG
39;M;TR;BEGGEN
37;F;L;LIMPERTSBERG
28;M;L, P;HOLLERICH
6;M;L, I;PULVERMUEHL
14;F;L;LIMPERTSBERG
56;M;P;NEUDORF/WEIMERSHOF
54;F;L;BEGGEN
27;F;TJ;BONNEVOIE-SUD
66;F;P;CENTS
50;M;L;GASPERICH
84;F;F;DOMMELDANGE
2;M;NL, PL;CENTS
20;M;L, R;GASPERICH
27;F;SGP;BONNEVOIE-SUD
50;F;NL;MERL
29;F;R;HOLLERICH
26;F;P;LIMPERTSBERG
20;M;L, GB;MUEHLENBACH
14;M;L, GB;BELAIR
35;F;L;LIMPERTSBERG
18;M;L, D;KIRCHBERG
49;F;L;LIMPERTSBERG
36;M;L;BONNEVOIE-SUD
69;F;P;CENTS
37;M;H;BEGGEN
61;M;L;BONNEVOIE-SUD
29;M;P;MERL
45;F;L;BONNEVOIE-SUD
45;M;P;MUEHLENBACH
34;F;L;EICH
30;F;L;CESSANGE
37;M;L;CESSANGE
48;M;I;GASPERICH
26;M;I;GARE
36;M;L, F;GASPERICH
29;M;L;NEUDORF/WEIMERSHOF
23;F;L, B;CENTS
46;F;L;BONNEVOIE-SUD
26;M;F;BONNEVOIE-SUD
80;F;L;LIMPERTSBERG
25;F;F;BONNEVOIE-NORD/VERLORENKOST
43;F;L;MERL
55;F;L;CESSANGE
55;M;L;HOLLERICH
56;M;L;NEUDORF/WEIMERSHOF
32;M;F;MERL
48;F;L;BONNEVOIE-SUD
32;F;F;WEIMERSKIRCH
43;M;E;BEGGEN
49;F;L;LIMPERTSBERG
78;F;L;GASPERICH
41;M;I;ROLLINGERGRUND/BELAIR-NORD
28;F;F;GARE
34;F;R;HOLLERICH
8;F;R;CENTS
62;F;L, DK;LIMPERTSBERG
18;F;L;CESSANGE
49;F;P;BONNEVOIE-NORD/VERLORENKOST
37;M;I;GRUND
95;F;L;LIMPERTSBERG
55;M;L, B;KIRCHBERG
80;M;L;BEGGEN
28;M;AZE;GARE
54;M;L;GARE
56;F;SK;KIRCHBERG
15;M;E;GASPERICH
61;M;P;GARE
63;M;L;BONNEVOIE-SUD
76;M;L;BONNEVOIE-SUD
19;F;L;HAMM
61;M;L;BELAIR
48;M;GR;NEUDORF/WEIMERSHOF
51;M;F;GARE
44;M;L, F;GARE
16;F;L;MUEHLENBACH
43;M;M;CLAUSEN
42;F;F;CENTS
7;F;L;BELAIR
33;F;B;MERL
36;M;RUS;CENTS
55;M;L;CESSANGE
54;F;L;BONNEVOIE-SUD
54;M;L;EICH
66;F;L;MUEHLENBACH
33;M;D;BONNEVOIE-SUD
65;F;L;EICH
50;M;L, F;ROLLINGERGRUND/BELAIR-NORD
38;M;GB;VILLE-HAUTE
33;M;I;CESSANGE
15;M;L, B, I;HOLLERICH
34;M;L;BELAIR
10;M;F;MERL
56;F;GB;LIMPERTSBERG
59;F;L;LIMPERTSBERG
15;M;L;EICH
42;F;TR;ROLLINGERGRUND/BELAIR-NORD
20;F;L;CENTS
33;M;L;NEUDORF/WEIMERSHOF
30;F;GH;BONNEVOIE-SUD
30;M;L;CENTS
32;F;RL;BONNEVOIE-NORD/VERLORENKOST
46;M;TJ;MERL
50;M;L, GB;HOLLERICH
33;M;I;BELAIR
24;F;CV;BEGGEN
85;M;L;CESSANGE
33;M;F;HOLLERICH
65;M;L;GARE
65;F;L;HAMM
64;F;L;CENTS
65;F;L;BONNEVOIE-SUD
22;M;L;PFAFFENTHAL
7;F;L;PFAFFENTHAL
4;M;L, H;CESSANGE
77;M;F;HOLLERICH
39;M;L;MERL
22;F;ZA;KIRCHBERG
23;F;B;HOLLERICH
62;F;P;GASPERICH
35;F;L;GASPERICH
2;F;L, XXK;BONNEVOIE-SUD
32;F;L;HAMM
11;F;L, P;BONNEVOIE-SUD
34;F;I;BONNEVOIE-SUD
60;F;P;ROLLINGERGRUND/BELAIR-NORD
50;M;F;HOLLERICH
32;F;F;KIRCHBERG
13;M;L;KIRCHBERG
39;F;D;NEUDORF/WEIMERSHOF
30;F;E;GASPERICH
49;F;F;HAMM
29;M;F;GRUND
2;F;TJ;CENTS
44;F;I;CENTS
17;F;FIN;LIMPERTSBERG
34;F;F;HOLLERICH
63;M;D;NEUDORF/WEIMERSHOF
38;M;L;GARE
51;M;R;MERL
44;M;I;MERL
12;M;F;GASPERICH
17;M;I, P;BELAIR
21;F;L;BONNEVOIE-SUD
62;F;L;CESSANGE
21;F;D;LIMPERTSBERG
46;F;E;GASPERICH
70;F;B;HOLLERICH
63;F;F;BELAIR
66;F;L, XXK;BEGGEN
61;M;E;GARE
54;M;I;HAMM
30;F;IND;GASPERICH
37;M;E;KIRCHBERG
11;M;P;GASPERICH
60;F;L;BONNEVOIE-SUD
29;M;E;LIMPERTSBERG
57;M;L, NL;DOMMELDANGE
68;F;P;BONNEVOIE-SUD
72;M;CZ;MERL
4;M;TJ;GASPERICH
25;M;L;BELAIR
35;F;CH;MERL
19;M;L, F;BONNEVOIE-SUD
28;M;D;GASPERICH
22;M;F;ROLLINGERGRUND/BELAIR-NORD
2;M;B, NL;GARE
42;F;GU;BELAIR
43;F;EST;HOLLERICH
38;M;F;GASPERICH
26;M;E;BELAIR
30;F;R;BONNEVOIE-SUD
3;F;J;BELAIR
35;F;I;BELAIR
5;F;L, I;CENTS
4;F;F;VILLE-HAUTE
59;M;P;MERL
35;M;I;GRUND
49;M;R;HOLLERICH
27;F;E;DOMMELDANGE
42;M;NZ;GARE
12;M;L;BONNEVOIE-SUD
24;M;I;LIMPERTSBERG
31;F;D;BONNEVOIE-SUD
40;F;F;GASPERICH
46;M;F;GASPERICH
39;F;F;GASPERICH
35;F;A;ROLLINGERGRUND/BELAIR-NORD
26;F;PHL;DOMMELDANGE
23;M;I;LIMPERTSBERG
47;M;B;CENTS
17;F;L;KIRCHBERG
40;M;P;MERL
44;M;CZ;LIMPERTSBERG
46;M;L;CENTS
24;M;P;CESSANGE
73;M;L;ROLLINGERGRUND/BELAIR-NORD
26;M;TJ;BONNEVOIE-SUD
64;F;L;NEUDORF/WEIMERSHOF
42;M;IRL;WEIMERSKIRCH
39;M;MNE;BELAIR
29;M;TN;WEIMERSKIRCH
52;F;L;MERL
56;F;L;DOMMELDANGE
58;F;F;GARE
53;F;L, UZB;CLAUSEN
53;M;F;BELAIR
35;F;L, PE;BONNEVOIE-SUD
27;M;L, XXK;GARE
48;F;E;BELAIR
27;F;F;BELAIR
5;M;IND;EICH
73;F;L;BONNEVOIE-SUD
36;M;L;LIMPERTSBERG
40;F;NL;HOLLERICH
48;F;E;BONNEVOIE-NORD/VERLORENKOST
29;M;RWA;MERL
25;F;F;ROLLINGERGRUND/BELAIR-NORD
62;F;P;GASPERICH
24;F;B;LIMPERTSBERG
76;M;B;GARE
54;F;LVA;LIMPERTSBERG
4;F;F;MERL
31;F;F;BONNEVOIE-SUD
42;F;I, SRB;EICH
37;M;L, D;BONNEVOIE-SUD
14;F;L, F;BELAIR
13;M;E, MA;CENTS
36;F;B;GASPERICH
33;F;D;CLAUSEN
27;F;USA;GASPERICH
43;F;LVA;DOMMELDANGE
55;F;B;LIMPERTSBERG
25;F;P;BONNEVOIE-SUD
26;M;D;GASPERICH
81;F;L;GRUND
20;M;P;BELAIR
4;F;F;BELAIR
48;F;R;BEGGEN
38;F;R;DOMMELDANGE
59;F;L, R;BELAIR
29;M;F;GASPERICH
23;M;IRL;LIMPERTSBERG
51;M;L, F;LIMPERTSBERG
60;F;F;KIRCHBERG
26;M;L, CDN;GASPERICH
28;M;F;BONNEVOIE-NORD/VERLORENKOST
48;M;P;DOMMELDANGE
50;F;TJ;LIMPERTSBERG
34;F;B;MUEHLENBACH
15;F;L, RUS;BELAIR
49;M;F;LIMPERTSBERG
26;F;P;HOLLERICH
49;F;PL;LIMPERTSBERG
32;M;F;BONNEVOIE-SUD
34;M;GR;BONNEVOIE-SUD
88;M;L;VILLE-HAUTE
34;F;L, VN;VILLE-HAUTE
34;F;P;CENTS
28;M;E;PFAFFENTHAL
41;M;IRL;BEGGEN
40;F;PL;GASPERICH
64;M;P;GARE
38;M;GB;NEUDORF/WEIMERSHOF
42;M;L, DOM;BONNEVOIE-SUD
32;M;SK;BELAIR
24;M;NL, GB;CENTS
63;F;L, USA;CESSANGE
32;F;E;CESSANGE
77;M;F;BONNEVOIE-NORD/VERLORENKOST
30;F;MA;GASPERICH
51;M;D;KIRCHBERG
23;F;IL;BELAIR
36;M;P;GARE
7;F;J;DOMMELDANGE
91;M;L;MUEHLENBACH
57;M;GB;CESSANGE
25;M;L, P;HOLLERICH
47;M;P;BONNEVOIE-SUD
25;F;L, F, B;DOMMELDANGE
37;M;BG, AUS;BELAIR
52;F;F;BELAIR
21;F;GB;NEUDORF/WEIMERSHOF
48;M;MA;BONNEVOIE-NORD/VERLORENKOST
25;M;FIN;CENTS
12;F;L, E;BELAIR
28;M;F;CLAUSEN
45;F;P;HAMM
27;M;L;HOLLERICH
59;M;L, I;HOLLERICH
24;M;ZA;MERL
26;M;I;GASPERICH
24;F;F;ROLLINGERGRUND/BELAIR-NORD
5;F;GB;ROLLINGERGRUND/BELAIR-NORD
33;M;GB;CESSANGE
42;M;GR;NEUDORF/WEIMERSHOF
79;M;B;PULVERMUEHL
42;F;L;DOMMELDANGE
5;F;R, MOL;GASPERICH
37;F;E;NEUDORF/WEIMERSHOF
44;F;PHL;MERL
39;F;L, BG;MUEHLENBACH
34;F;L;MUEHLENBACH
32;F;GR;HOLLERICH
33;M;T;ROLLINGERGRUND/BELAIR-NORD
2;F;F;BONNEVOIE-SUD
31;F;L, IRQ;DOMMELDANGE
46;F;D;BELAIR
43;M;E;NEUDORF/WEIMERSHOF
48;F;L, F;LIMPERTSBERG
42;F;F;GASPERICH
43;F;F;BEGGEN
59;M;L;BONNEVOIE-NORD/VERLORENKOST
32;F;IND;GASPERICH
52;F;P;BONNEVOIE-SUD
61;M;P;LIMPERTSBERG
54;F;P;BONNEVOIE-SUD
88;M;L;VILLE-HAUTE
25;F;F;WEIMERSKIRCH
51;F;CDN;BEGGEN
33;M;P;NEUDORF/WEIMERSHOF
23;M;NL;CESSANGE
35;M;L;BELAIR
34;F;L;BELAIR
35;F;TJ;HOLLERICH
24;F;P;GARE
30;F;E;KIRCHBERG
35;F;H;MUEHLENBACH
9;F;L, SK;LIMPERTSBERG
22;M;D;CESSANGE
32;F;I;EICH
53;M;L, IL;LIMPERTSBERG
2;F;L, I;LIMPERTSBERG
1;M;L;MUEHLENBACH
25;F;PL;BONNEVOIE-NORD/VERLORENKOST
74;M;P;GASPERICH
13;M;L, F;MUEHLENBACH
39;M;L, F;BELAIR
30;F;I;NEUDORF/WEIMERSHOF
47;F;L;GRUND
26;M;F;BONNEVOIE-SUD
43;M;GR, USA;KIRCHBERG
46;F;L, I;MERL
9;M;E;BELAIR
12;F;CZ, FIN;KIRCHBERG
55;M;L, F;GASPERICH
33;F;IND;KIRCHBERG
37;F;ZA;CESSANGE
26;F;L, P;GARE
26;M;E;MUEHLENBACH
50;M;USA;LIMPERTSBERG
11;F;R;HAMM
27;F;E;CESSANGE
17;F;L, PL;KIRCHBERG
34;M;AEB;NEUDORF/WEIMERSHOF
1;F;L;BELAIR
64;F;F;KIRCHBERG
81;F;L;GRUND
49;M;D;GARE
35;M;R;BONNEVOIE-SUD
54;M;E;BELAIR
57;F;F;VILLE-HAUTE
47;F;GB;GASPERICH
43;M;TC;BELAIR
44;F;GB, USA;HOLLERICH
40;F;P;CENTS
13;F;F;MERL
60;F;GR;NEUDORF/WEIMERSHOF
31;F;TJ;GARE
10;F;M, RUS;HOLLERICH
54;M;L;DOMMELDANGE
76;M;GB;CESSANGE
38;M;E;GARE
38;M;F;CESSANGE
67;F;P;BEGGEN
15;M;L, B, F;BELAIR
44;F;GB;BELAIR
39;M;L, B;GARE
2;F;L, IND;DOMMELDANGE
50;M;F;DOMMELDANGE
21;M;GB;HOLLERICH
52;F;F;LIMPERTSBERG
66;M;L;HOLLERICH
35;F;E;LIMPERTSBERG
3;F;CI, DY;PFAFFENTHAL
33;F;I;LIMPERTSBERG
48;M;F;CENTS
29;F;L;NEUDORF/WEIMERSHOF
50;M;MEX;DOMMELDANGE
23;F;L;GASPERICH
46;M;L, I;BONNEVOIE-NORD/VERLORENKOST
9;F;F;BONNEVOIE-SUD
29;M;F;BELAIR
31;F;RUS;EICH
26;M;P;GASPERICH
39;F;E;PFAFFENTHAL
23;F;P;CESSANGE
22;M;F;VILLE-HAUTE
24;M;F;LIMPERTSBERG
46;M;I;HOLLERICH
18;M;L;LIMPERTSBERG
32;F;USA;LIMPERTSBERG
29;M;F;GASPERICH
29;M;TJ;BONNEVOIE-SUD
37;F;MS;KIRCHBERG
68;M;NL;BELAIR
40;M;DK;LIMPERTSBERG
35;F;FIN;MUEHLENBACH
39;F;I;CENTS
58;F;P;MERL
53;F;LVA;BONNEVOIE-SUD
36;M;I;NEUDORF/WEIMERSHOF
17;F;L, F, GB;BELAIR
31;M;F;HAMM
19;M;L, P;ROLLINGERGRUND/BELAIR-NORD
7;F;L;MUEHLENBACH
58;M;L, B, F;CENTS
37;M;I;BELAIR
33;M;P;GARE
58;M;L;BONNEVOIE-SUD
28;F;L;LIMPERTSBERG
20;M;I;LIMPERTSBERG
55;M;D;EICH
9;F;F;NEUDORF/WEIMERSHOF
26;F;E;GARE
58;M;F;KIRCHBERG
10;M;HRV, BIH;KIRCHBERG
70;F;P;BONNEVOIE-SUD
40;M;P;GASPERICH
30;F;DZ;GASPERICH
37;F;E;LIMPERTSBERG
34;F;BR;NEUDORF/WEIMERSHOF
20;M;B;MERL
36;F;XXK;KIRCHBERG
43;M;GR;BELAIR
30;M;F;BONNEVOIE-NORD/VERLORENKOST
56;F;L;NEUDORF/WEIMERSHOF
13;M;IR;GARE
32;M;IRL;KIRCHBERG
44;F;F;GASPERICH
44;M;F;GASPERICH
54;F;GB;EICH
