Age;Sexe;Nationalité(s);Quartier
85;F;L;BONNEVOIE-SUD
86;M;B;LIMPERTSBERG
81;F;L;BONNEVOIE-SUD
78;M;L, P;BONNEVOIE-NORD/VERLORENKOST
73;M;L;KIRCHBERG
79;F;L;BONNEVOIE-NORD/VERLORENKOST
75;F;L;LIMPERTSBERG
81;M;D;KIRCHBERG
90;F;L;BONNEVOIE-NORD/VERLORENKOST
69;M;I;GARE
71;M;L;KIRCHBERG
60;F;L;GARE
62;F;L;WEIMERSKIRCH
73;F;B;BEGGEN
75;M;P;NEUDORF/WEIMERSHOF
62;F;L;LIMPERTSBERG
54;F;L;DOMMELDANGE
66;F;GR;LIMPERTSBERG
71;M;L;BELAIR
71;M;L, GR;HOLLERICH
64;F;D;EICH
47;M;IRL;NEUDORF/WEIMERSHOF
51;M;B;LIMPERTSBERG
66;F;L;MUEHLENBACH
67;M;TJ;DOMMELDANGE
58;F;L;MERL
59;M;L;BONNEVOIE-SUD
86;M;L;BONNEVOIE-SUD
5;M;I, F;MERL
53;F;L;EICH
60;F;I;GASPERICH
56;F;S;ROLLINGERGRUND/BELAIR-NORD
73;M;L;GASPERICH
69;F;F;LIMPERTSBERG
49;F;BG;CENTS
70;M;L;LIMPERTSBERG
70;F;L;BONNEVOIE-SUD
52;F;P;GASPERICH
54;M;L;VILLE-HAUTE
73;M;L;CENTS
72;M;L;GARE
69;F;L;BELAIR
67;M;L;NEUDORF/WEIMERSHOF
68;F;B;LIMPERTSBERG
62;F;L;ROLLINGERGRUND/BELAIR-NORD
61;M;D;WEIMERSKIRCH
100;F;L;BELAIR
72;M;L;GASPERICH
61;M;P;BEGGEN
69;F;L;CESSANGE
79;F;I;PFAFFENTHAL
67;F;L;GASPERICH
66;M;L;BONNEVOIE-SUD
68;F;F;LIMPERTSBERG
60;F;L;GARE
42;M;F;CENTS
99;F;L;BONNEVOIE-NORD/VERLORENKOST
9;M;A, F;ROLLINGERGRUND/BELAIR-NORD
72;F;L;EICH
56;M;B;LIMPERTSBERG
63;F;F;CENTS
52;F;L;BONNEVOIE-SUD
48;F;B;BELAIR
68;M;L;CLAUSEN
68;M;L;KIRCHBERG
55;M;P;GARE
68;F;F;GARE
66;F;I;BONNEVOIE-SUD
64;F;L;CENTS
68;F;L;VILLE-HAUTE
67;F;L, I;NEUDORF/WEIMERSHOF
54;F;F;HOLLERICH
65;F;L;BELAIR
58;M;L;GARE
65;M;P;HOLLERICH
26;F;L, P;EICH
59;M;L;LIMPERTSBERG
51;M;D;GARE
62;F;P;BONNEVOIE-SUD
63;F;B;ROLLINGERGRUND/BELAIR-NORD
60;F;IRL;NEUDORF/WEIMERSHOF
69;F;L;CLAUSEN
57;M;P;GASPERICH
51;F;I;ROLLINGERGRUND/BELAIR-NORD
56;M;P;DOMMELDANGE
58;M;L;LIMPERTSBERG
53;M;B;MERL
72;M;L;EICH
68;F;L;ROLLINGERGRUND/BELAIR-NORD
52;F;D;HOLLERICH
51;F;L;MERL
63;F;L;BELAIR
44;F;L, XXK;BONNEVOIE-SUD
32;F;F;WEIMERSKIRCH
27;M;F, D;NEUDORF/WEIMERSHOF
16;F;L, F;GASPERICH
44;M;L;BELAIR
10;M;L;BELAIR
59;M;GR;BELAIR
59;F;P;BEGGEN
51;M;L;VILLE-HAUTE
56;F;B;GARE
14;F;TJ;BELAIR
59;F;P;HOLLERICH
59;M;I;BONNEVOIE-SUD
20;M;L, USA;LIMPERTSBERG
48;F;B;CLAUSEN
56;M;D;BELAIR
35;F;EST;LIMPERTSBERG
88;F;L;KIRCHBERG
51;F;L, B;PULVERMUEHL
59;M;D;NEUDORF/WEIMERSHOF
51;M;L;GASPERICH
56;F;L;MUEHLENBACH
50;F;L, F;BELAIR
49;M;L;MERL
